cell_line       sample_id       sample_name     sample  genotype        treatment       rep     batch   size_factor     total_count     human_count     yeast_count     deduped primary unique  spliced unspliced
U2OS    U2OS_DRB_noR_rep1_S13   DRB_noR_rep1    DRB_noR WT      DRB     rep1    RUN2    1.58803240166159        7307575 3383383 3924192 103550187       38629490        9862255 115383  5431929
U2OS    U2OS_DRB_noR_rep2_S18   DRB_noR_rep2    DRB_noR WT      DRB     rep2    RUN2    1.7559345676634 8625967 4232353 4393614 109903001       42739254        12019293        102799  7090483
U2OS    U2OS_DRB_5minR_rep1_S14 DRB_5minR_rep1  DRB_5minR       WT      DRB     rep1    RUN2    1.60963640626484        39427779        35344615        4083164 145613144       82004061        52468830        99472   47900222
U2OS    U2OS_DRB_5minR_rep2_S19 DRB_5minR_rep2  DRB_5minR       WT      DRB     rep2    RUN2    1.63746321377585        36567182        32452904        4114278 171927753       85240154        47730924        199228  43005398
U2OS    U2OS_DRB_10minR_rep1_S15        DRB_10minR_rep1 DRB_10minR      WT      DRB     rep1    RUN2    1.23493857249786        37194459        34089181        3105278 141468154       77082364        48788236        88980   45282357
U2OS    U2OS_DRB_10minR_rep2_S20        DRB_10minR_rep2 DRB_10minR      WT      DRB     rep2    RUN2    0.82982175174651        41896138        39796541        2099597 155469619       84184834        55180148        109055  52757430
U2OS    U2OS_DRB_15minR_rep1_S16        DRB_15minR_rep1 DRB_15minR      WT      DRB     rep1    RUN2    0.534050472731863       37236085        35878380        1357705 153450487       78151990        48854280        95217   47265228
U2OS    U2OS_DRB_15minR_rep2_S21        DRB_15minR_rep2 DRB_15minR      WT      DRB     rep2    RUN2    1.05678303307135        42013741        39337037        2676704 174344150       89373904        54606540        84434   51580982
U2OS    U2OS_DRB_20minR_rep1_S17        DRB_20minR_rep1 DRB_20minR      WT      DRB     rep1    RUN2    0.384873248171476       25432638        24455281        977357  216990848       81957528        32170108        346381  30746518
U2OS    U2OS_DRB_20minR_rep2_S22        DRB_20minR_rep2 DRB_20minR      WT      DRB     rep2    RUN2    0.625424817237013       36453505        34876907        1576598 177570952       83219088        46962379        133169  45094060
