gene_id	gene_name	gene_type	gene_length	DRB	wf	time	wave.orders	order	elongation.rate	adj.r.squared
ENSG00000075239.14	ACAT1	protein_coding	30909	DRB_5minR	16.57	5	3421	other	-0.82434	0.400346770336441
ENSG00000075239.14	ACAT1	protein_coding	30909	DRB_10minR	2.844	10	3421	other	-0.82434	0.400346770336441
ENSG00000075239.14	ACAT1	protein_coding	30909	DRB_15minR	2.817	15	3421	other	-0.82434	0.400346770336441
ENSG00000075239.14	ACAT1	protein_coding	30909	DRB_20minR	2.84	20	3421	other	-0.82434	0.400346770336441
ENSG00000149308.17	NPAT	protein_coding	65424	DRB_5minR	14.241	5	1234	1234	3.6861	0.911240886682005
ENSG00000149308.17	NPAT	protein_coding	65424	DRB_10minR	29.177	10	1234	1234	3.6861	0.911240886682005
ENSG00000149308.17	NPAT	protein_coding	65424	DRB_15minR	59.939	15	1234	1234	3.6861	0.911240886682005
ENSG00000149308.17	NPAT	protein_coding	65424	DRB_20minR	65.422	20	1234	1234	3.6861	0.911240886682005
ENSG00000149311.20	ATM	protein_coding	146059	DRB_5minR	17.296	5	1234	1234	4.3483	0.992633075115051
ENSG00000149311.20	ATM	protein_coding	146059	DRB_10minR	36.741	10	1234	1234	4.3483	0.992633075115051
ENSG00000149311.20	ATM	protein_coding	146059	DRB_15minR	62.969	15	1234	1234	4.3483	0.992633075115051
ENSG00000149311.20	ATM	protein_coding	146059	DRB_20minR	81.025	20	1234	1234	4.3483	0.992633075115051
